# Time-averaged data for fix myat9
# TimeStep v_density
0 0.000384393
200 0.000283759
400 0.000232758
600 0.000201943
800 0.00018213
1000 0.000168986
1200 0.000159677
1400 0.000151908
1600 0.000146899
1800 0.000142617
2000 0.000139293
2200 0.000136433
2400 0.000134565
2600 0.000133045
2800 0.000131
3000 0.000129809
3200 0.000129122
3400 0.000128637
3600 0.000128385
3800 0.000127514
4000 0.000127575
4200 0.000127345
4400 0.000127012
4600 0.00012645
4800 0.000126446
5000 0.000126305
5200 0.000126306
5400 0.000125644
5600 0.000125987
5800 0.000126102
6000 0.000126111
6200 0.000125805
6400 0.00012598
6600 0.000125801
6800 0.000125642
7000 0.000125749
7200 0.000125796
7400 0.000125317
7600 0.000124894
7800 0.000125072
8000 0.000125165
8200 0.000124672
8400 0.000124566
8600 0.000124741
8800 0.000124518
9000 0.000124781
9200 0.000124967
9400 0.000124165
9600 0.0001246
9800 0.000124973
10000 0.000124993
10200 0.0001253
10400 0.000125383
10600 0.000125122
10800 0.000125123
11000 0.000125299
11200 0.000125148
11400 0.000125259
11600 0.000124964
11800 0.000125474
12000 0.00012593
12200 0.000125524
12400 0.000125453
12600 0.000125173
12800 0.000125222
13000 0.000125586
13200 0.000125033
13400 0.000124644
13600 0.000124553
13800 0.00012479
14000 0.000124576
14200 0.000124619
14400 0.000124967
14600 0.000124817
14800 0.000125118
15000 0.000124967
15200 0.000125225
15400 0.000125001
15600 0.000125044
15800 0.000125247
16000 0.000125084
16200 0.00012517
16400 0.00012456
16600 0.000125002
16800 0.000124939
17000 0.00012464
17200 0.000124887
17400 0.000124785
17600 0.000124952
17800 0.000124756
18000 0.00012497
18200 0.000124811
18400 0.000125053
18600 0.000124819
18800 0.0001252
19000 0.00012487
19200 0.000125044
19400 0.000125086
19600 0.000124646
19800 0.000124372
20000 0.000124533
